"","id","ageGrp","sex","maritalStat","province","popCenter","eduLevel","feelRushed","extraTime","durSleep","durMealPrep","durEating","durAlone","durDriving","durWork","durShoolSite","durSchoolOnline","durStudy","MRW_20","MRW_30","MRW_40","worked12m","workedWeek","enrollStat","dailyTexts","timeSlowDown","timeWorkaholic","timeNotFamFriends","timeWantAlone","province_char","maritalStat_char","eduLevel_char","isFeelRushed"
"13871",23870,6,2,3,59,1,4,6,6,480,30,120,1410,20,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2,"BC","Widowed","College, CEGEP, or other non-university certificate or dimploma",0
"13872",23871,2,1,6,59,1,3,4,3,810,0,60,390,60,0,0,0,30,NA,NA,NA,1,1,1,7,2,1,2,2,"BC","Single, never married","Trade certificate or diploma",0
"13873",23872,6,1,5,59,2,2,6,1,330,0,60,1370,50,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2,"BC","Divorced","High school diploma or equivalency",0
"13874",23873,5,2,1,59,2,6,3,6,445,15,115,235,20,0,0,0,0,NA,2,1,1,2,NA,3,2,2,2,2,"BC","Married","Bachelor's degree",1
"13875",23874,5,2,1,24,2,4,3,4,425,30,50,1085,160,0,0,0,0,NA,2,1,1,2,NA,3,2,2,2,2,"QC","Married","College, CEGEP, or other non-university certificate or dimploma",1
"13876",23875,2,1,2,46,1,6,1,2,375,0,0,0,0,495,0,0,0,NA,NA,NA,1,1,NA,3,2,1,2,2,"MB","Living common-law","Bachelor's degree",1
"13877",23876,4,2,1,48,2,2,2,3,570,0,180,40,0,0,0,0,0,NA,2,1,1,2,NA,1,2,2,2,2,"AB","Married","High school diploma or equivalency",1
"13878",23877,3,1,2,46,1,1,2,6,450,0,55,225,20,392,0,0,0,NA,NA,NA,1,1,NA,3,2,1,1,2,"MB","Living common-law","Less than high school dimploma or its equivalent",1
"13879",23878,5,1,5,59,1,6,1,6,540,90,45,1425,0,0,0,0,0,NA,NA,NA,1,1,NA,1,1,1,2,2,"BC","Divorced","Bachelor's degree",1
"13880",23879,5,2,1,47,2,2,4,6,705,60,90,180,0,0,0,0,0,NA,NA,NA,1,1,NA,2,1,2,2,2,"SK","Married","High school diploma or equivalency",0
