PUMFID,AGEGR10,SEX,MARSTAT,PRV,LUC_RST,EHG_ALL,GTU_110,GTU_130,DUR01,DUR05,DUR06,DURS200,DURL313,DUR08,DUR13,DUR14,DUR15,MRW_20,MRW_30,MRW_40,MRW_D40A,MRW_D40B,EDM_02,TST_01,TCS_110,TCS_120,TCS_150,TCS_200
17173,6,1,2,24,1,1.0,6.0,6.0,510,40,75,1395,20,0,0,0,0,,2.0,2.0,2,2,,8.0,1.0,2.0,2.0,2.0
17174,2,2,6,59,1,6.0,3.0,4.0,450,30,55,980,0,0,0,0,0,1.0,2.0,2.0,2,2,1.0,6.0,2.0,2.0,2.0,2.0
17175,2,2,1,46,2,6.0,1.0,2.0,540,0,145,160,70,525,0,0,0,,,,1,1,,2.0,2.0,1.0,2.0,2.0
17176,5,2,1,13,1,2.0,1.0,2.0,600,65,40,390,0,435,0,0,0,,,,1,1,,1.0,2.0,2.0,1.0,2.0
17177,4,2,1,46,1,4.0,2.0,3.0,475,45,20,315,60,420,0,0,0,,,,1,1,,1.0,2.0,2.0,2.0,2.0
17178,4,2,1,48,1,7.0,3.0,6.0,440,0,0,725,60,465,0,0,0,,,,1,1,,1.0,2.0,2.0,2.0,2.0
17179,5,1,1,35,1,2.0,3.0,5.0,450,30,0,130,40,720,0,0,0,,,,1,1,,1.0,2.0,2.0,1.0,2.0
17180,7,2,1,35,1,2.0,,6.0,675,0,45,735,0,0,0,0,0,,2.0,2.0,2,2,,8.0,2.0,2.0,2.0,2.0
17181,6,2,1,35,1,4.0,3.0,5.0,540,185,140,165,30,0,0,0,0,,2.0,2.0,2,2,,1.0,2.0,2.0,2.0,2.0
17182,4,2,1,35,1,7.0,1.0,6.0,410,150,90,720,110,480,0,0,0,,,,1,1,,1.0,2.0,1.0,2.0,2.0
17183,7,2,1,46,1,6.0,3.0,6.0,435,70,195,490,0,0,0,0,0,,2.0,2.0,2,2,,1.0,2.0,2.0,2.0,2.0
17184,4,1,1,10,1,6.0,1.0,2.0,360,140,90,250,60,0,0,0,0,,,,1,1,,2.0,2.0,2.0,2.0,2.0
17185,5,2,6,11,3,3.0,1.0,3.0,1040,10,10,1140,10,0,0,0,0,,2.0,1.0,1,2,,2.0,2.0,2.0,2.0,2.0
17186,4,1,1,48,1,2.0,2.0,2.0,450,150,0,300,30,0,0,0,0,,,,1,1,,1.0,2.0,2.0,2.0,2.0
17187,1,1,6,24,1,4.0,2.0,6.0,720,0,0,1035,5,110,0,0,0,,1.0,1.0,1,2,1.0,7.0,2.0,2.0,2.0,2.0
17188,3,2,1,10,1,6.0,1.0,6.0,500,85,30,690,60,360,0,0,0,,2.0,1.0,1,2,,1.0,2.0,1.0,1.0,2.0
17189,6,2,6,35,1,6.0,2.0,1.0,450,90,125,1160,0,0,0,0,0,,2.0,2.0,2,2,,1.0,2.0,2.0,2.0,2.0
17190,3,1,1,35,1,4.0,1.0,6.0,240,0,0,420,55,430,0,0,0,,,,1,1,,5.0,1.0,1.0,1.0,2.0
17191,5,2,3,48,1,6.0,2.0,4.0,350,50,140,1140,40,0,0,175,0,,,,1,1,2.0,1.0,2.0,2.0,1.0,2.0
17192,4,2,1,24,1,7.0,1.0,6.0,600,70,60,1230,0,0,0,0,0,,,,1,1,,5.0,2.0,2.0,2.0,2.0
17193,7,2,1,47,1,6.0,6.0,6.0,415,60,75,370,0,0,0,0,0,,2.0,2.0,2,2,,1.0,2.0,1.0,2.0,2.0
17194,7,1,3,35,1,3.0,3.0,6.0,510,75,140,1020,70,0,0,0,0,,2.0,2.0,2,2,,8.0,2.0,2.0,2.0,2.0
17195,3,2,1,12,1,4.0,2.0,4.0,510,65,80,325,95,360,0,0,0,,,,1,1,,1.0,2.0,2.0,2.0,2.0
17196,4,2,6,59,1,4.0,1.0,4.0,510,0,75,1015,20,400,0,0,0,,,,1,1,,1.0,2.0,2.0,1.0,2.0
17197,4,2,1,10,1,1.0,1.0,3.0,630,150,50,390,0,0,0,0,0,,,,1,1,,1.0,2.0,1.0,2.0,2.0
17198,3,2,5,35,1,2.0,1.0,6.0,500,60,25,665,110,490,0,0,0,,,,1,1,,8.0,2.0,2.0,2.0,2.0
17199,3,1,2,35,1,6.0,2.0,3.0,430,45,0,1170,30,615,0,0,0,,,,1,1,,1.0,1.0,1.0,1.0,2.0
17200,4,1,3,59,1,1.0,3.0,3.0,675,30,15,1440,0,0,0,0,60,,1.0,2.0,2,2,,1.0,2.0,,1.0,2.0
17201,5,2,1,47,1,6.0,3.0,2.0,510,0,150,0,0,0,0,0,0,,,,1,1,,1.0,2.0,2.0,2.0,2.0
17202,5,2,1,46,1,4.0,4.0,6.0,660,0,30,420,0,0,0,0,0,,2.0,2.0,2,2,,1.0,2.0,2.0,2.0,2.0
17203,2,2,6,35,1,6.0,1.0,6.0,495,0,25,920,0,420,0,0,0,,,,1,1,,1.0,2.0,1.0,1.0,1.0
17204,3,2,1,24,1,6.0,1.0,6.0,285,15,40,360,0,450,0,0,0,,,,1,1,,1.0,1.0,1.0,1.0,1.0
